categoria,categoriaF,categoriaS,ciudad,ciudadF,comunidad,comunidadF,contenido,discapacidad,duracion,educacion,educacionDes,educacionDesF,educacionF,educacionS,empresaSocial,fechaCreacion,fechaCreacionBoost,fechaCreacionPortal,fechaIncorporacion,fechaRevision,formacionReq,id,localizacion,nivel,numCandidatos,origen,pais,paisF,paisS,provincia,provinciaF,provinciaLimitrofe,provinciaS,salarioMin,score,speState,speStateId,subcategoria,subcategoriaF,subcategoriaS,tamanoCompania2,tipoContrato,titulo,trabajosOfertados,url
01,ADMINISTRACIÓN,ADMINISTRACIÓN,20018,Azpeitia,16,PAÍS VASCO,"Herri formazio guenan martxan ipintzea. zentroan honako programak sustatu:hiritartasun heziketako programa ezberdinak eta STEAM programa sustatu. EZINBESTEKO BALDINTZAK: Emakumea eta 35 urte gutxiago izatea; Azpeitiko ezagutza izatea; Enpresen Administrazio eta Zuzendaritza Gradua, LEII gradua edo antzekoa, EGA edo 3 profila. BALORATUKO DA: RGI onuraduna izatea, hizkuntzen ezaguera, lan esparruan eskarmentua izatea eta urola erdia eskualdean izatea bizilekua. KONTRATU MOTA: Aldi batekoa. HIRAUPENA: 6 hilabet DESEMPLEADO",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:22:02Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:29Z,NA,1670987579,"43.1825979,-2.2667322",NA,7,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,1.1744709,Activa,1,NA,NA,NA,1,LABORAL TEMPORAL,Herri formazio guneko teknikaria.,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018011856
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,01059,Vitoria-Gasteiz,16,PAÍS VASCO,"DESCRIPCIÓN: Revisión y Codificación de las respuestas a las preguntas abiertas o semiabiertas de cuestionario, en especial aquellas que se vinculen con clasificaciones y tablas en las que exista un número significativo de valores. La codificación de los campos de ocupación y rama de actividad deberá realizarse por personal técnico que conozca de manera suficiente la CNO y la CNAE. IMPRESCINDIBLE: Licenciaturas/grados en Sociología, estadística o matemáticas. Conocimientos en codificaciones CNO y CNAE. Expe",False,NA,8,NA,NA,Licenciado o Ingeniero Superior,Licenciado o Ingeniero Superior,False,2018-11-01T00:21:58Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:25Z,NA,1670979443,"42.8591656,-2.681791800000001",NA,7,LANBIDE,724,ESPAÑA,ESPAÑA,1,ÁLAVA,['ÁLAVA'],ÁLAVA,NA,1.1744709,Activa,1,NA,NA,NA,1,LABORAL TEMPORAL,Responsable de codificación de encuestas de Inserción Laboral,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012023
01,ADMINISTRACIÓN,ADMINISTRACIÓN,20071,Tolosa,16,PAÍS VASCO,"Administrativa/o para atención del paciente en clínica dental, elaboración presupuestos, atención telefónica, gestión de agenda. REQUISITOS IMPRESCINDIBLES: REQUISITOS IMPRESCINDIBLES: estar empadronado/a en alguno de los municipios de la comarca de Tolosaldea, desempleado/a inscrito/a en Lanbide. Euskera, habilidades comerciales y atención al cliente. REQUISITOS A VALORAR: experiencia en sector sanitario preferible clínica dental.SE OFRECE: contrato temporal de un año de duración a jornada completa. De lun DESEMPLEADO",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:22:01Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:28Z,NA,1670987578,"43.1347544,-2.0750946",NA,13,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,1.1744709,Activa,1,01001,ADMINISTRATIVOS,ADMINISTRATIVOS,1,LABORAL TEMPORAL,ADMINISTRATIVA/O COMERCIAL,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018011982
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,20045,Irun,16,PAÍS VASCO,"Mediante la RESOLUCIÓN de 13 de JUNIO de 2018, del Director General de Lanbide-Servicio Vasco de Empleo para la convocatoria de ayudas para acciones locales de promoción de empleo para el ejercicio 2018 (BOPV nº 118 de 20 de junio de 2018) se solicita para el Plan de Empleo de Iun un/a Técnico/a de Actividades educativas de acuerdo con las directrices del técnico de educación del Ayuntamiento de Irun, para analizar y definir recursos , implementar nuevos programas educativos así como reforzar el desarrollo d DESEMPLEADO",False,NA,4,NA,NA,Bachillerato,Bachillerato,False,2018-11-01T00:21:57Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:25Z,NA,1670979440,"43.3380969,-1.7888483",NA,21,LANBIDE,724,ESPAÑA,ESPAÑA,1,ÁLAVA,['ÁLAVA'],ÁLAVA,NA,1.1744709,Activa,1,NA,NA,NA,1,LABORAL TEMPORAL,TÉCNICO/A DE ACTIVIDADES EDUCATIVAS,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012027
08,CONDUCTORES/TRANSPORTE,CONDUCTORES/TRANSPORTE,48020,Bilbao,16,PAÍS VASCO,"Se precisa persona para residencia de la tercera edad en Bilbao, para realizar principalmente las siguientes tareas: supervisar y asignar la actividad de los trabajadores a su cargo, vigilar el cumplimiento de las labores asignadas y colaborar en las actividades propias de las personas que trabajen bajo su mando. Se requiere experiencia previa mínima de 3 años en puestos similares así como formación acreditada como gericultor/a, como Certificados de Profesionalidad de atención sociosanitaria en institucione",False,NA,7,NA,NA,Diplomado o Ingeniero Técnico,Diplomado o Ingeniero Técnico,False,2018-11-01T00:21:57Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:24Z,NA,1670979441,"43.2630126,-2.9349852",NA,8,LANBIDE,724,ESPAÑA,ESPAÑA,48,VIZCAYA,['VIZCAYA'],VIZCAYA,NA,1.1744709,Activa,1,08002,TRANSPORTE DE PERSONAS O MERCANCIAS,TRANSPORTE DE PERSONAS O MERCANCIAS,1,LABORAL INDEFINIDO,GOBERNANTE/A,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012031
01,ADMINISTRACIÓN,ADMINISTRACIÓN,20019,Beasain,16,PAÍS VASCO,"Trabajos de oficina general: ofertas, facturas, compras, ventas, dinámica, bancos, contro de aplicaciones informáticas. REQUISITOS IMPRESCINDIBLES: Experiencia mínima 24 meses. Utilizar office, internet y correo electrónico a nivel superior. Coche propio, carnet de conducir. Euskera y castellano hablado y escrito. REQUISITOS A VALORAR: Aptitud y actitud personal y cultura general. Otros idiomas: ingles, .... CONTRATO: temporal de 6 meses. Horario: 08:00 a 13:00+14:30 a 17:30. Salario 1800¿ aprox. Fecha de in",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:22:02Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:29Z,NA,1670987580,"43.0457548,-2.2003055",NA,24,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,1.1744709,Activa,1,01006,SECRETARIADO,SECRETARIADO,1,LABORAL TEMPORAL,SECRETARIA/O,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018011801
06,COMERCIAL/VENTAS,COMERCIAL/VENTAS,20045,Irun,16,PAÍS VASCO,"Gestión de proyectos relacionados con piezas plásticas con clientes iranies, así como representación y búsqueda de nuevos clientes en el mercado persa. Disponibilidad para viajar a Iran y hablar persa e ingés. a valorar: idioma español y conocimientos de import/export",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:57Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:24Z,NA,1670979438,"43.3380969,-1.7888483",NA,3,LANBIDE,724,ESPAÑA,ESPAÑA,1,ÁLAVA,['ÁLAVA'],ÁLAVA,NA,1.1744709,Activa,1,06001,AGENTES COMERCIALES/REPRESENTANTES,AGENTES COMERCIALES/REPRESENTANTES,1,LABORAL TEMPORAL,COMERCIAL PARA IRAN,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012038
08,CONDUCTORES/TRANSPORTE,CONDUCTORES/TRANSPORTE,20071,Tolosa,16,PAÍS VASCO,"Se necesita mecánico para realizar las siguientes funciones: Reparaciones de todo tipo a nivel de mecánica y electrónica del automóvil. Cambios de embrague, cajas de cambios, motores diesel y gasolina, puesta a punto y mantenimiento de automóviles. IMPRESCINDIBLE: experiencia mínima de 2 años, formación profesional mecánica y/o electrónica. Empadronamiento en Tolosaldea, estar en desempleo e inscrito-a en Lanbide. VALORABLE: Persona dinámica y Euskara. SE OFRECE: contrato de 6 meses a jornada completa con ho",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:57Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:24Z,NA,1670979439,"43.1347544,-2.0750946",NA,0,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,1.1744709,Activa,1,08005,MECÁNICA DEL AUTOMÓVIL,MECÁNICA DEL AUTOMÓVIL,1,LABORAL TEMPORAL,MECÁNICO AUTOMOCIÓN,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012034
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,01059,Vitoria-Gasteiz,16,PAÍS VASCO,"DESCRIPCIÓN: Esteticista con experiencia profesional para trabajar a turnos rotativos. IMPRESCINDIBLE: Experiencia y Formación como esteticista. VALORABLE: Experiencia en tratamientos láser. CONTRATO: Eventual. JORNADA: Completa, turnos rotativos de lunes a sábados. SALARIO: 1.000-1.300 Euros mes. INCORPORACIÓN: Inmediata",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:57Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:24Z,NA,1670979436,"42.8591656,-2.681791800000001",NA,0,LANBIDE,724,ESPAÑA,ESPAÑA,1,ÁLAVA,['ÁLAVA'],ÁLAVA,NA,1.1744709,Activa,1,13008,FORMACIÓN PROFESIONAL,FORMACIÓN PROFESIONAL,1,LABORAL TEMPORAL,Esteticista,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012039
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,48902,Erandio,16,PAÍS VASCO,"Gestión del área de igualdad, desarrollo del Plan Local de Igualdad, impulso de acciones de igualdad, coordinación con otras áreas y servicios. Trabajo con tejido asociativo y ciudadanía. Relación interinstitucional. Requisitos imprescindibles: Grado o equivalente en Psicología, Pedagogía, Sociología, Trabajo Social o similar. Formación de posgrado en igualdad. C1 euskera. Experiencia en programas similares. Se ofrece contrato de un año de duración a jornada completa en horario de 08:00 a 15:00 y dos tardes",False,NA,7,NA,NA,Diplomado o Ingeniero Técnico,Diplomado o Ingeniero Técnico,False,2018-11-01T00:21:57Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:24Z,NA,1670979437,"43.3028593,-2.9756534",NA,25,LANBIDE,724,ESPAÑA,ESPAÑA,48,VIZCAYA,['VIZCAYA'],VIZCAYA,NA,1.1744709,Activa,1,NA,NA,NA,1,LABORAL TEMPORAL,Técnico/a en materia de igualdad,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012040
NA,NA,NA,20005,Alegia,16,PAÍS VASCO,"Administrazio lanetarako persona behar da funtzio hauek betetzeko: arreta telefonikoa, albaranak, fakturak, kontabilitatea. EZINBESTEKOA: Administraritza ikasketak, esperientzia eta Euskara menperatzea. Tolosaldeako eskualdean errolda, langabezian egotea eta Lanbiden izena emanda egotea. Lanaldi osoko sei hilabeteko kontratoa eskaintzen da ordutegi etenean. 1500 euroko soldata gordina gutxi gora behera. UZTAILAREN 26KO ENPLEGUA SUSTATZEKO TOKIKO EKINTZETARAKO LAGUNTZEN DEIALDIAREN BAITAN DA (EHAA 2017/07/28",False,NA,5,NA,NA,"FP I, Ciclo de Grado Medio","FP I, Ciclo de Grado Medio",False,2018-11-01T00:21:59Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:26Z,NA,1670979450,"43.098049,-2.0953297",NA,20,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,1.1744709,Activa,1,NA,NA,NA,1,LABORAL TEMPORAL,Administraria,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012011
14,ELECTRICIDAD/ELECTRÓNICA/ENERGÍA,ELECTRICIDAD/ELECTRÓNICA/ENERGÍA,01059,Vitoria-Gasteiz,16,PAÍS VASCO,"DESCRIPCIÓN: Técnico electricista con conocimientos de mantenimiento para la realización de tareas de las instalaciones eléctricas, mantenimiento preventivo y mantenimiento correctivo de instalaciones. IMPRESCINDIBLE: Formación Profesional en electricidad. Experiencia en en mantenimiento eléctrico de maquinaria y autómatas. Formación específica en utilización de maquinaria pesada. CONTRATO: Eventual, larga duración. JORNADA: Completa. INCORPORACIÓN: Inmediata",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:59Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:25Z,NA,1670979451,"42.8591656,-2.681791800000001",NA,5,LANBIDE,724,ESPAÑA,ESPAÑA,1,ÁLAVA,['ÁLAVA'],ÁLAVA,NA,1.1744709,Activa,1,14001,ELECTRICIDAD,ELECTRICIDAD,1,LABORAL TEMPORAL,Mantenimiento eléctrico,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012013
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,20071,Tolosa,16,PAÍS VASCO,"Codificación en los siguientes servicios: hospitalización, procedimientos ambulatorios, urgencias, CMA. REQUISITOS IMPRESCINDIBLES: estar empadronado/a en alguno de los municipios de la comarca de Tolosaldea ,desempleado/a inscrito/a en Lanbide. Titulo de Técnico en Documentación y Administración sanitaria. REQUISITOS A VALORAR: Euskera, experiencia en codificación en rama sanitaria 2 años. SE OFRECE: contrato temporal de 6 meses de duración a jornada completa. Fecha prevista incorporación DICIEMBRE. Salari DESEMPLEADO",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:58Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:25Z,NA,1670979448,"43.1347544,-2.0750946",NA,5,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,1.1744709,Activa,1,NA,NA,NA,1,LABORAL TEMPORAL,CODIFICADORA,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012015
16,HOSTELERÍA/TURISMO,HOSTELERÍA/TURISMO,01018,Zigoitia,16,PAÍS VASCO,"AUXILIAR DE SALA EN CENTO COMERCIAL - ATENCIÓN PERSONALIZADA A LOS CLIENTES SALA, DINAMIZAR , RESOLVER INCIDENCIAS, VENTA Y PROMOCIÓN DE NUEVAS MÁQUINAS Y JUEGOS. CAPTACIÓN Y FIDELIZACIÓN DE NUEVOS CLIENTES, PAGO DE PREMIOS Y COBROS DEL SPORT BAR. IMPRESCINDIBLE: EXPERIENCIA DE 6 MESES. CARNET B1 Y VEHICULO PROPIO. SE OFRECE: CONTRATO INDEFINIDO A MEDIA JORNADA. 20 HORAS SEMANALES . SALARIO BRUTO MENSUAL 800-900 EUROS",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:59Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:26Z,NA,1670979449,"42.9632046,-2.7290362",NA,1,LANBIDE,724,ESPAÑA,ESPAÑA,1,ÁLAVA,['ÁLAVA'],ÁLAVA,NA,1.1744709,Activa,1,16005,COCINEROS,COCINEROS,1,LABORAL INDEFINIDO,AUXILIAR DE SALA,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012010
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,01059,Vitoria-Gasteiz,16,PAÍS VASCO,"MONTADOR/A DE SISTEMAS DE ALMACENAJE.- MONTAJE DE ESTANTERIAS INDUSTRIALES, DESMONTABLES Y EQUIPAMIENTOS PARA VESTUARIOS. IMPRESCINDIBLE: 3 MESES DE EXPERIENCIA COMO MONTADOR/A DE ESTRUCTURAS DE ALMACENAJE. CARNET DE CONDUCIR. FORMACIÓN EN MATERIA DE PREVENCIÓN DE RIESGOS LABORALES. CONTRATO POR OBRA: DE 3 A 6 MESES. JORNADA COMPLETA. INCORPORACIÓN INMEDIATA. SALARIO BRUTO MENSUAL: 1185 EUROS",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:58Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:25Z,NA,1670979446,"42.8591656,-2.681791800000001",NA,4,LANBIDE,724,ESPAÑA,ESPAÑA,1,ÁLAVA,['ÁLAVA'],ÁLAVA,NA,1.1744709,Activa,1,NA,NA,NA,1,LABORAL TEMPORAL,MONTADOR/A DE SISTEMAS DE ALMACENAJE,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012020
08,CONDUCTORES/TRANSPORTE,CONDUCTORES/TRANSPORTE,20005,Alegia,16,PAÍS VASCO,"Se necesita mecánico para la reparación de maquinaria diversa: tractores, motocultores, motosierras etc. IMPRESCINDIBLE: titulo de mecánico y experiencia. Empadronamiento en la comarca, estar en desempleo e inscrito-a en Lanbide. VALORABLE: Euskara y Seriedad. SE OFRECE: contrato de 6 meses con posibilidad de indefinido, jornada completa con horario partido y un salario aproximado de 1600 euros. CONTRATACION SUJETA A LA CONVOCATORIA DE AYUDAS PARA ACCIONES LOCALES DE EMPLEO DE 12 DE JUNIO DE 2018 PUBLICADO",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:58Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:25Z,NA,1670979447,"43.098049,-2.0953297",NA,1,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,1.1744709,Activa,1,08005,MECÁNICA DEL AUTOMÓVIL,MECÁNICA DEL AUTOMÓVIL,1,LABORAL TEMPORAL,MECÁNICO,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012017
09,CONSTRUCCIÓN,CONSTRUCCIÓN,48080,Valle de Trapaga-Trapagaran,16,PAÍS VASCO,"Se precisa para Trapagaran un/a Ayudante de inspector de Ensayos no Destructivos en instalaciones de fabricación, como caldereras o plantas de generación de energia. IMPRESCINDIBLE: carnet de conducir B y carnet ADR Categoria 7 (códigos 1131 y 1132). Se valorará experiencia en ensayos no destructivos. OFRECE: contrato de un mes de duración a jornada completa en horarios por turnos y salario 1580 ¿.",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:57Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:25Z,NA,1670979444,"43.304374,-3.0365308",NA,12,LANBIDE,724,ESPAÑA,ESPAÑA,48,VIZCAYA,['VIZCAYA'],VIZCAYA,NA,1.1744709,Activa,1,09009,PEONES,PEONES,1,LABORAL TEMPORAL,PEON/A EN GENERAL,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012024
01,ADMINISTRACIÓN,ADMINISTRACIÓN,20045,Irun,16,PAÍS VASCO,"Atención de las llamadas telefónicas, organización de los documentos de la empresa, correcta redacción de cartas e informes, realizar facturas de clientes y proveedores. Requisitos imprescindibles: manejo de office. Buena base de lengua francesa. A valorar: conocimientos de contabilidad. Se ofrece: contratoeventual a tiempo parcial d elunes a viernes de 14:30 a18:30. Salario mensual bruto aproximado en euros 640",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:58Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:25Z,NA,1670979445,"43.3380969,-1.7888483",NA,15,LANBIDE,724,ESPAÑA,ESPAÑA,1,ÁLAVA,['ÁLAVA'],ÁLAVA,NA,1.1744709,Activa,1,NA,NA,NA,1,LABORAL TEMPORAL,AUXILIAR ADMINISTRATIVO/A,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012018
15,FÁBRICAS/INDUSTRIA,FÁBRICAS/INDUSTRIA,20068,Leintz-Gatzaga,16,PAÍS VASCO,"Peoi lanak:Gatz museoan,gatz ekoizpenean edo/ta Udalak beharrezko ikusten bestelako jardueretan / Ezinbesteko baldintzak:Langabezian egotea,Lanbidek enplegua sustatzeko deitutako laguntza deialdiko baldintzak betetzea.Leintz-Gatzagan erroldatuta egotea.Emakumea izatea.Euskaraz mintzatzeko gaitasuna/Gida baimena eta kotxea edukitxea baloratu egiten da / Soldata:1.291¿/hileko ( paga extra barne).Kontratua abenduan hasiko da DESEMPLEADO",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:57Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:24Z,NA,1670979435,"42.9868191,-2.5684044",NA,5,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,1.1744709,Activa,1,NA,NA,NA,1,LABORAL TEMPORAL,PEOIA,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012033
03,ALMACENES/REPONEDORES,ALMACENES/REPONEDORES,20063,Oiartzun,16,PAÍS VASCO,Empresa ubicada en Oiartzun precisa persona con conocimientos y experiencia en Almacén y Expediciones. IMPRESCINDIBLE: Carnet de Carretillero. Experiencia min.12m en puesto similar. Permiso de Conducir B1; Residir en la Comarca y Alrededores. Formación académica a partir de Graduado. VALORABLE: FP2; Conocimientos de Inglés. Conocimientos de office.SE OFRECE: Contrato temporal de 1 año. Incorporación inmediata. Horario de 8 a 13 y 14 a 17h.,False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:57Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:24Z,NA,1670979434,"43.298838,-1.8624156",NA,6,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,1.1744709,Activa,1,03002,MOZOS DE ALMACÉN/CARRETILLEROS,MOZOS DE ALMACÉN/CARRETILLEROS,1,LABORAL TEMPORAL,OPERADOR EN EXPEDICIONES-ALMACEN,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012043
