categoria,categoriaF,categoriaS,ciudad,ciudadF,comunidad,comunidadF,contenido,discapacidad,duracion,educacion,educacionDes,educacionDesF,educacionF,educacionS,empresaSocial,fechaCreacion,fechaCreacionBoost,fechaCreacionPortal,fechaIncorporacion,fechaRevision,formacionReq,id,localizacion,nivel,numCandidatos,origen,pais,paisF,paisS,provincia,provinciaF,provinciaLimitrofe,provinciaS,salarioMin,score,speState,speStateId,subcategoria,subcategoriaF,subcategoriaS,tamanoCompania2,tipoContrato,titulo,trabajosOfertados,url
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,33044,Oviedo,3,PRINCIPADO DE ASTURIAS,Asociación Centro TRama selecciona para su delegación de Asturias a educadores para intervención directa con menores en situación de riesgo o conflicto social,False,De 1 a 2 años,7,NA,NA,Diplomado o Ingeniero Técnico,Diplomado o Ingeniero Técnico,False,2018-11-01T00:08:49Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-10-30T23:00:00Z,2018-11-02T01:05:05Z,Al menos 1 año,1670979366,"43.3619145,-5.8493887",Empleado,57,HACESFALTA,724,ESPAÑA,ESPAÑA,33,ASTURIAS,['ASTURIAS'],ASTURIAS,18001,1.1744709,Activa,1,13002,ASISTENCIA E INTEGRACIÓN SOCIAL,ASISTENCIA E INTEGRACIÓN SOCIAL,1,Jornada completa,Educador/a,3,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/educador-a/154006
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,NA,NA,9,CATALUÑA,"Se selecciona persona con formación en musicoterapia para realizar sesiones individuales con niños y adolescentes con Trastorno del Espectro del Autismo y/o otras condiciones que limitan su desempeño autónomo.  Se ofrece contrato de 10h semanales a realizar en tres tardes entre semana, durante todo el curso escolar en la población de Monzón (Huesca).   Se requiere formación en muscoterapia. Se valorará experiencia en este ámbito.",False,Sin especificar,NA,NA,NA,NA,NA,False,2018-11-01T00:08:47Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-10-30T23:00:00Z,2018-11-02T01:05:05Z,No requerida,1670979259,"41.6175899,0.6200146",Empleado,1,HACESFALTA,724,ESPAÑA,ESPAÑA,25,LLEIDA,['LLEIDA'],LLEIDA,12000,1.1744709,Activa,1,13008,FORMACIÓN PROFESIONAL,FORMACIÓN PROFESIONAL,1,Media jornada,Musicoterapeuta,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/musicoterapeuta/154009
07,COMUNICACIÓN/CULTURA/ENTRETENIMIENTO,COMUNICACIÓN/CULTURA/ENTRETENIMIENTO,28079,Madrid,13,MADRID,"Para realizar una sustitución de una baja médica, necesitamos incorporar en uno de nuestros centros educativos en Madrid, un/a profesor/a de Bellas Artes para impartir las asignaturas de Dibujo Técnico, Dibujo Artístico y Educación Plástica en la etapa de Bachillerato. Para ello, buscamos Graduados/as o Licenciados/as en Bellas Artes o titulados/as en Ingeniería o Arquitectura de las enseñanzas técnicas o equivalentes,que puedan acreditar una experiencia docente o una formación superior adecuada para impartir el currículo de las materias correspondientes. Buscamos personas que sepan trabajar en equipo y acostumbradas a la utilización de las TIC como herramienta dentro del aula. Abstenerse candidatos que no cumplan estos requisitos.",False,Sin especificar,8,06024,"Otras Titulaciones (FP 2, ciclos grado superior)",Licenciado o Ingeniero Superior,Licenciado o Ingeniero Superior,False,2018-11-01T00:08:47Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-10-30T23:00:00Z,2018-11-02T01:05:05Z,Al menos 2 años,1670979256,"40.4167754,-3.7037902",Empleado,3,HACESFALTA,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,24001,1.1744709,Activa,1,07003,EDICIÓN/INDUSTRIA GRÁFICA,EDICIÓN/INDUSTRIA GRÁFICA,1,Jornada completa,Profesor/a de bellas artes bachillerato,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/profesor-a-de-bellas-artes-bachillerato/154011
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,28079,Madrid,13,MADRID,"Se busca Trabajadora  Social, con experiencia directa en recurso para Mujeres Víctimas de Violencia de Género de dos años. Y formación especifica, demostrable en Violencia de Genero de 200h.  Persona seria, implicada, organizada, responsable, con facilidad de adaptación y gran capacidad de trabajo en equipo. Horario de Lunes a Viernes. Salario según convenio de intervención social Abstenerse quien no cumpla los requisitos",False,Sin especificar,7,NA,NA,Diplomado o Ingeniero Técnico,Diplomado o Ingeniero Técnico,False,2018-11-01T00:08:47Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-20T23:00:00Z,2018-11-02T01:05:05Z,Al menos 2 años,1670979255,"40.4167754,-3.7037902",Empleado,17,HACESFALTA,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,18001,1.1744709,Activa,1,13002,ASISTENCIA E INTEGRACIÓN SOCIAL,ASISTENCIA E INTEGRACIÓN SOCIAL,1,Jornada completa,Trabajadora social especialista en violencia de género,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/trabajadora-social-especialista-en-violencia-de-genero/154041
01,ADMINISTRACIÓN,ADMINISTRACIÓN,28079,Madrid,13,MADRID,Desde Asociación Centro Trama buscamos mediadores/as interculturales para trabajo con menores  ,False,De 1 a 2 años,7,06024,"Otras Titulaciones (FP 2, ciclos grado superior)",Diplomado o Ingeniero Técnico,Diplomado o Ingeniero Técnico,False,2018-11-01T00:08:47Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-10-30T23:00:00Z,2018-11-02T01:05:05Z,Al menos 1 año,1670979258,"40.4167754,-3.7037902",Empleado,47,HACESFALTA,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,12000,1.1744709,Activa,1,NA,NA,NA,1,Media jornada,Mediador/a intercultural,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/mediador-a-intercultural/154012
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,28079,Madrid,13,MADRID,"Seleccionamos a un  Monitor/a de Gimnasia para trabajar en un centro de mayores ubicada en Mejorada del Campo en Madrid, los lunes y miércoles en horario de cuatro a seis horas de la tarde. La persona seleccionada tiene que tener formación en animación de actividades físico deportivas o similar y disponibilidad para trabajar en el horario indicado y de manera inmediata.",False,De 6 meses a 1 año,6,NA,NA,"FP II, Ciclo de Grado Superior","FP II, Ciclo de Grado Superior",False,2018-11-01T00:08:47Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-11-11T23:00:00Z,2018-11-02T01:05:05Z,Al menos 1 año,1670979253,"40.4167754,-3.7037902",Empleado,0,HACESFALTA,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,12000,1.1744709,Activa,1,13008,FORMACIÓN PROFESIONAL,FORMACIÓN PROFESIONAL,1,Media jornada,Monitor de gimnasia- mejorada del campo,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/monitor-de-gimnasia-mejorada-del-campo/154028
07,COMUNICACIÓN/CULTURA/ENTRETENIMIENTO,COMUNICACIÓN/CULTURA/ENTRETENIMIENTO,28079,Madrid,13,MADRID,"Necesitamos incorporar un/a Coordinador/a de actividades complementarias y extraescolares a jornada completa para realizar una sustitución de una baja médica en uno de nuestros centros educativos en Madrid. En dependencia directa de la Gerencia del centro, tendrá bajo su responsabilidad la coordinación del servicio de comedor, del horario ampliado y de las actividades extraescolares , siendo sus principales funciones las siguientes: - Coordinación del servicio de comedor, asistencial y de las actividades extraescolares. - Gestión altas y bajas, control asistencia, elaborar la información para la facturación de servicios. - Gestión de los espacios. - Resolución de incidencias en el servicio y comunicación de las mismas a Gerencia. - Relación con proveedores, familias usuarias y alumnado.  ",False,Sin especificar,6,NA,NA,"FP II, Ciclo de Grado Superior","FP II, Ciclo de Grado Superior",False,2018-11-01T00:08:47Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-10-30T23:00:00Z,2018-11-02T01:05:05Z,Al menos 2 años,1670979249,"40.4167754,-3.7037902",Empleado,102,HACESFALTA,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,24001,1.1744709,Activa,1,07002,COMUNICACIÓN/PUBLICIDAD/MARKETING,COMUNICACIÓN/PUBLICIDAD/MARKETING,1,Jornada completa,Coordinador/a serv.complementarios y a.extraescolares,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/coordinador-a-serv-complementarios-y-a-extraescolares/154013
01,ADMINISTRACIÓN,ADMINISTRACIÓN,NA,NA,9,CATALUÑA,Caixer de banca amb tasques comercialsCaixer de banca amb tasques comercials,False,NA,7,NA,NA,Diplomado o Ingeniero Técnico,Diplomado o Ingeniero Técnico,False,2018-11-01T03:22:53Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:10:53Z,NA,1671034173,"41.9794005,2.8214264",NA,NA,SOC,724,ESPAÑA,ESPAÑA,17,GIRONA,['GIRONA'],GIRONA,NA,1.1744709,Activa,1,01002,BANCA/SEGUROS,BANCA/SEGUROS,1,LABORAL INDEFINIT,Caixer/a de banca,1,http://feinaactiva.gencat.cat/web/guest/home?p_p_id=jobsLocator_WAR_psocwebjobslocator&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_jobsLocator_WAR_psocwebjobslocator_struts_action=%2Fjobslocator%2FprocessView&saveLastPath=0&jobCode=4361436
08,CONDUCTORES/TRANSPORTE,CONDUCTORES/TRANSPORTE,17079,Girona,9,CATALUÑA,es necessita conductor taxi per girona capital amb experiència en el sector inprescindible tenir (català b2 l'ESO o graduat escolar) es balorara l'anglès.conductor taxi,True,NA,NA,NA,NA,NA,NA,False,2018-11-01T17:35:38Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:11:06Z,NA,1671429747,"41.9794005,2.8214264",NA,NA,SOC,724,ESPAÑA,ESPAÑA,17,GIRONA,['GIRONA'],GIRONA,NA,1.1744709,Activa,1,08002,TRANSPORTE DE PERSONAS O MERCANCIAS,TRANSPORTE DE PERSONAS O MERCANCIAS,1,LABORAL INDEFINIT,conductor,1,http://feinaactiva.gencat.cat/web/guest/home?p_p_id=jobsLocator_WAR_psocwebjobslocator&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_jobsLocator_WAR_psocwebjobslocator_struts_action=%2Fjobslocator%2FprocessView&saveLastPath=0&jobCode=4361484
09,CONSTRUCCIÓN,CONSTRUCCIÓN,20042,Ibarra,16,PAÍS VASCO,"Se necesita persona para trabajar como peón para manejo de granalla y pintura de piezas. IMPRESCINDIBLE: Motivación y ganas de trabajar. Empadronamiento en la comarca, estar en desempleo e inscrito-a en Lanbide. SE OFRECE: contrato de 6 meses a jornada completa con un salario aproximado de 1800 euros. CONTRATACION SUJETA A LA CONVOCATORIA DE AYUDAS PARA ACCIONES LOCALES DE EMPLEO DE 12 DE JUNIO DE 2018 PUBLICADO EN EL BOPV DE 20/06/2018 DESEMPLEADO",False,NA,NA,NA,NA,NA,NA,False,2018-11-01T00:21:57Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T21:25:24Z,NA,1670979442,"43.1322604,-2.0662896",NA,25,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,1.1744709,Activa,1,09009,PEONES,PEONES,1,LABORAL TEMPORAL,PEÓN,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018012029
