categoria,categoriaF,categoriaS,ciudad,ciudadF,comunidad,comunidadF,contenido,creador,cuestionario,discapacidad,educacion,educacionF,educacionReq,educacionReqF,educacionS,empresaSocial,fechaCreacion,fechaCreacionBoost,fechaCreacionPortal,fechaRevision,horario,id,jornada,jornadaF,localizacion,minExperiencia,noMeInteresa,origen,pais,paisF,paisS,provincia,provinciaF,provinciaLimitrofe,provinciaS,salarioMax,salarioMin,score,speState,speStateId,subcategoria,subcategoriaF,subcategoriaS,tipoContratoN,titulo,trabajosOfertados,url,verSalarioMax,verSalarioMin
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,41091,Sevilla,1,ANDALUCÍA,Diseño de webs y desarrollo de una aplicación web/móvil,COOPERATIVAS AGROALIMENTARIAS DE ANDALUCIA,NA,False,NA,NA,NA,NA,NA,False,2018-10-30T10:13:41Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:13:41Z,NA,1669014771,1,COMPLETA,"37.3890924,-5.9844589",NA,NA,SAE,724,ESPAÑA,ESPAÑA,41,SEVILLA,['SEVILLA'],SEVILLA,NA,1200,1.1742488,Activa,1,17002,SISTEMAS/SEGURIDAD/REDES,SISTEMAS/SEGURIDAD/REDES,3,Informático con diseño y desarrollo de aplicaciones web,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=66489&tipoOferta=EA&origen=&listado=true,NA,NA
04,APRENDICES/PRIMER EMPLEO,APRENDICES/PRIMER EMPLEO,23018,Cambil,1,ANDALUCÍA,Tipo de Oferta:EMPLEO,Oficina del Servicio Andaluz de Empleo,NA,False,NA,NA,NA,NA,NA,False,2018-10-30T10:13:41Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:13:41Z,NA,1669014770,2,PARCIAL,"37.6786907,-3.5654535",NA,NA,SAE,724,ESPAÑA,ESPAÑA,23,JAÉN,['JAÉN'],JAÉN,NA,596,1.1742488,Activa,1,04002,PRIMER EMPLEO,PRIMER EMPLEO,3,MANTENEDORES DE EDIFICIOS,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=660524&tipoOferta=01&origen=&listado=true,NA,NA
16,HOSTELERÍA/TURISMO,HOSTELERÍA/TURISMO,29051,Estepona,1,ANDALUCÍA,"Tipo de Oferta:EMPLEO SE NECESITA CUBRIR UN PUESTO DE PERSONAL ASISTENTE DE RESTAURACIÓN (AUXILIAR DE COCINA/PINCHE DE COCINA). PARA ESTE PUESTO SE REQUERIRÁ CERTIFICADO DE ESCOLARIDAD O FORMACIÓN LABORAL EQUIVALENTE. SE ENTENDERÁ QUE SE ESTÁ EN POSESIÓN DE DICHA FORMACIÓN LABORAL EQUIVALENTE CUANDO SE HUBIESE DEMOSTRADO TENER LA EXPERIENCIA PROFESIONAL ESPECÍFICA EN LA CATEGORIA PROFESIONAL CONCRETA DE AL MENOS 3 MESES, O SUPERADO CURSO DE FORMACIÓN PROFESIONAL DIRECTAMENTE RELACIONADO CON ESA CATEGORIA DE AL MENOS 50 HORAS.",Oficina del Servicio Andaluz de Empleo,NA,False,NA,NA,NA,NA,NA,False,2018-10-30T10:13:41Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:13:41Z,NA,1669014772,1,COMPLETA,"36.4256345,-5.1510261",NA,NA,SAE,724,ESPAÑA,ESPAÑA,29,MÁLAGA,['MÁLAGA'],MÁLAGA,NA,1200,1.1742488,Activa,1,16005,COCINEROS,COCINEROS,3,"COCINEROS, EN GENERAL",1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=660505&tipoOferta=01&origen=&listado=true,NA,NA
08,CONDUCTORES/TRANSPORTE,CONDUCTORES/TRANSPORTE,41049,Guillena,1,ANDALUCÍA,puesto para joven menor de 30 años en practicas de mecánico de automoción con un grado medio de mecánica de automoción.,TALLER DE AUTOMOCIÓN,NA,False,NA,NA,NA,NA,NA,False,2018-10-30T10:13:41Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:13:41Z,NA,1669014768,NA,NA,"37.5429955,-6.056855199999999",NA,NA,SAE,724,ESPAÑA,ESPAÑA,41,SEVILLA,['SEVILLA'],SEVILLA,NA,NA,1.1742488,Activa,1,08005,MECÁNICA DEL AUTOMÓVIL,MECÁNICA DEL AUTOMÓVIL,3,Mecanico de automoción,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=66490&tipoOferta=OM&origen=&listado=true,NA,NA
04,APRENDICES/PRIMER EMPLEO,APRENDICES/PRIMER EMPLEO,04083,Serón,1,ANDALUCÍA,Tipo de Oferta:EMPLEO: DURACIÓN DEL CONTRATO 18 DIAS,Oficina del Servicio Andaluz de Empleo,NA,False,NA,NA,NA,NA,NA,False,2018-10-30T10:13:41Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:13:41Z,NA,1669014773,1,COMPLETA,"37.3451668,-2.5088473",NA,NA,SAE,724,ESPAÑA,ESPAÑA,4,ALMERÍA,['ALMERÍA'],ALMERÍA,NA,1100,1.1742488,Activa,1,04002,PRIMER EMPLEO,PRIMER EMPLEO,3,EDUCADORES SOCIALES,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=660520&tipoOferta=01&origen=&listado=true,NA,NA
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,08019,Barcelona,9,CATALUÑA,"Entitat social ubicada al Casc Antic de Barcelona, cerca educador/a per Espai familiar. L'espai familiar és un servei orientat a les famílies amb infants menors de 3 anys, als quals ofereix un espai de joc i relació, on els infants poden explorar i relacionar-se entre ells i amb els adults, i on les famílies poden compartir entre elles la seva experiència d’educar i fer créixer els seus fills i filles. Els espais familiars ofereixen un context de relacions estables entre infants, famílies i professionals. Cada infant, acompanyat d'un adult de referència (mare, pare, avis, cangur), participa en unes sessions setmanals. Cada sessió s'organitza en dos moments diferenciats: Un primer moment d'activitat conjunta entre infants i adults, amb propostes de joc i de materials diversificades i pensades amb intencionalitat educativa, serveix per gaudir i compartir descobertes, vivències, avenços. És un moment idoni",NA,NA,False,7,Diplomado o Ingeniero Técnico,NA,NA,Diplomado o Ingeniero Técnico,False,2018-10-30T10:17:06Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:17:06Z,NA,1669019699,NA,NA,"41.3850639,2.1734035",NA,NA,HACESFALTA,724,ESPAÑA,ESPAÑA,8,BARCELONA,['BARCELONA'],BARCELONA,NA,NA,1.1742488,Activa,1,13002,ASISTENCIA E INTEGRACIÓN SOCIAL,ASISTENCIA E INTEGRACIÓN SOCIAL,NA,Educador/a social per espai familiar,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/educador-a-social-per-espai-familiar/153958,NA,NA
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,28079,Madrid,13,MADRID,"Accem es una organización sin ánimo de lucro de ámbito estatal cuya misión es la defensa de los derechos fundamentales, la atención y el acompañamiento a las personas que se encuentran en situación o riesgo de exclusión social. Especializada en refugio y migraciones, es mucho más, trabaja en favor de la inclusión de las personas y busca la igualdad de derechos, deberes y oportunidades de todas las personas con independencia de su origen, sexo, raza, religión, opiniones o grupo social. Actualmente buscamos un/una Técnico especializado en mediación intercultural para Programa de Intervención Sociocomunitaria con Familias Inmigrantes en el centro de San Roque. Contrato de sustitución. Jornada completa (Turnos de noche y fines de semana). Las funciones a realizar son: Prevención y gestión de conflictos. Realizar seguimiento individual y familiar. Prestar una atenció",NA,NA,False,7,Diplomado o Ingeniero Técnico,NA,NA,Diplomado o Ingeniero Técnico,False,2018-10-30T10:17:05Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:17:05Z,NA,1669019696,NA,NA,"40.4167754,-3.7037902",NA,NA,HACESFALTA,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,NA,18001,1.1742488,Activa,1,NA,NA,NA,3,Técnico/a especializado en mediación intercultural (contrato de sustitución),1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/tecnico-a-especializado-en-mediacion-intercultural-contrato-de-sustitucion-/153957,NA,NA
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,30016,Cartagena,14,REGIÓN DE MURCIA,"Accem es una organización sin ánimo de lucro de ámbito estatal cuya misión es la defensa de los derechos fundamentales, la atención y el acompañamiento a las personas que se encuentran en situación o riesgo de exclusión social. Especializada en refugio y migraciones, es mucho más, trabaja en favor de la inclusión de las personas y busca la igualdad de derechos, deberes y oportunidades de todas las personas con independencia de su origen, sexo, raza, religión, opiniones o grupo social. Actualmente, buscamos un/una Trabajador/a Social para el Servicio de Acogida Temporal Protección Internacional en Cartagena. Las funciones a realizar son: Atención individualizada, entrevistas, redacción de informes, seguimiento de casos, elaboración de expedientes, registro de usuarios/as, desarrollo de talleres, resolución de incidencias. Información, asesoramiento, seguimiento té",NA,NA,False,7,Diplomado o Ingeniero Técnico,NA,NA,Diplomado o Ingeniero Técnico,False,2018-10-30T10:17:06Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:17:06Z,NA,1669019697,NA,NA,"37.6256827,-0.9965839",NA,NA,HACESFALTA,724,ESPAÑA,ESPAÑA,30,MURCIA,['MURCIA'],MURCIA,NA,18001,1.1742488,Activa,1,13002,ASISTENCIA E INTEGRACIÓN SOCIAL,ASISTENCIA E INTEGRACIÓN SOCIAL,3,Trabajador/a social. servicio acogida temporal -protección internacional (cartagena),1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/trabajador-a-social-servicio-acogida-temporal-proteccion-internacional-cartagena-/153956,NA,NA
18,INGENIERÍA/CALIDAD/CIENCIAS,INGENIERÍA/CALIDAD/CIENCIAS,20030,Eibar,16,PAÍS VASCO,"Requisitos imprescindibles: Bachiller o FP y conocimientos en materia de medio ambiente. Se valorará titulación superior a la exigia, conocimiento de euskera y disponibilidad de vehículo propio. SE OFRECE: contrato de interinidad, jornada completa, Salario bruto mes 1891,54 ¿",NA,NA,False,5,"FP I, Ciclo de Grado Medio",05025,"Otras Titulaciones (FP 1, ciclos grado medio)","FP I, Ciclo de Grado Medio",False,2018-10-30T10:27:23Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:27:23Z,NA,1669046064,NA,NA,"43.1832096,-2.4715422",NA,NA,LANBIDE,724,ESPAÑA,ESPAÑA,20,GUIPÚZCOA,['GUIPÚZCOA'],GUIPÚZCOA,NA,NA,1.1742488,Activa,1,18004,MEDIO AMBIENTE/QUÍMICA/BIOLOGÍA/LABORATO,MEDIO AMBIENTE/QUÍMICA/BIOLOGÍA/LABORATO,3,TÉCNICO/A MEDIO AMBIENTE,1,http://apps.lanbide.euskadi.net/apps/OF_DETALLE_OFERTA_TRABAJO?LG=C&ML=OFEMEN1&MS=Eaaa&CTRG=1&ORGN=LG&IDRG=162018011865,NA,NA
10,DEPENDIENTES/INFORMACIÓN,DEPENDIENTES/INFORMACIÓN,09059,Burgos,8,CASTILLA Y LEÓN,"Se busca persona para fines de semana. Jornada 10 Hras./semana. Se valorará experiencia como dependiente, conocimientos de escaparatismo,  informática a nivel usuario e inglés.",RESISTOLHATS S.L.,NA,False,4,Bachillerato,04001,"Bachiller, COU, acceso (Sin especialidad)",Bachillerato,False,2018-08-01T14:26:52Z,2018-08-01T00:00:00Z,2018-10-30T00:00:00Z,2018-11-30T00:00:00Z,NA,1734677967,2,PARCIAL,"42.343993,-3.696906",3,NA,WEB,724,ESPAÑA,ESPAÑA,9,BURGOS,['BURGOS'],BURGOS,333,333,1.1742488,Activa,1,10002,DEPENDIENTES,DEPENDIENTES,2,DEPENDIENTE TIENDA EN BURGOS PARA FINES DE SEMANA,1,-,NA,NA
